Year,Year_mon,Month,X2,Rain,IOD,QBO
2000,1,January,2000.1,0,-0.297101,4.85
2000,2,February,2000.2,213,-0.120937,4.2
2000,3,March,2000.3,19,0.149103,5.51
2000,4,April,2000.4,1,0.322335,3.98
2000,5,May,2000.5,22,0.470297,-0.99
2000,6,June,2000.6,87,0.556086,-7.83
2000,7,July,2000.7,138,0.492466,-13.13
2000,8,August,2000.8,54,0.375217,-15.31
2000,9,September,2000.9,163,0.177767,-15.52
2000,10,October,2000.1,163,-0.105154,-14.04
2000,11,November,2000.11,190,-0.624544,-15.07
2000,12,December,2000.12,42,-0.661819,-14.56
2001,1,January,2001.1,1,-0.658001,-15.69
2001,2,February,2001.2,0,-0.334842,-15.53
2001,3,March,2001.3,0,0.0329719,-15.99
2001,4,April,2001.4,84,0.562215,-17.73
2001,5,May,2001.5,19,0.551438,-20.99
2001,6,June,2001.6,38,0.426113,-23.31
2001,7,July,2001.7,269.8,0.265256,-24.45
2001,8,August,2001.8,47,-0.103058,-21.67
2001,9,September,2001.9,129,-0.365594,-14.29
2001,10,October,2001.1,412,-0.332508,-10.81
2001,11,November,2001.11,387,-0.294263,-3.88
2001,12,December,2001.12,280,-0.286166,1.48
2002,1,January,2002.1,44,-0.0330346,4.64
2002,2,February,2002.2,1,-0.144587,8
2002,3,March,2002.3,0,-0.291065,9.32
2002,4,April,2002.4,0,-0.236533,14.03
2002,5,May,2002.5,17,-0.290515,14.16
2002,6,June,2002.6,37,-0.376617,13.26
2002,7,July,2002.7,80,0.230553,10.05
2002,8,August,2002.8,127,0.869717,10.6
2002,9,September,2002.9,111,1.09975,8.9
2002,10,October,2002.1,375,1.13157,7.66
2002,11,November,2002.11,580,1.01004,4.46
2002,12,December,2002.12,30,0.694901,-0.5
2003,1,January,2003.1,0,0.235122,-1.39
2003,2,February,2003.2,0,0.0447129,-1.43
2003,3,March,2003.3,6.2,0.0932544,-3.3
2003,4,April,2003.4,0,0.46421,-8.56
2003,5,May,2003.5,0.5,0.606197,-13.63
2003,6,June,2003.6,31,0.790019,-17.71
2003,7,July,2003.7,94,0.91496,-22.99
2003,8,August,2003.8,126,0.909408,-24.64
2003,9,September,2003.9,169,0.670222,-22.51
2003,10,October,2003.1,149,0.648467,-20.34
2003,11,November,2003.11,85,0.485657,-17.86
2003,12,December,2003.12,77,0.492941,-11.38
2004,1,January,2004.1,51,0.612052,-4.84
2004,2,February,2004.2,0,0.616359,2.61
2004,3,March,2004.3,0,0.0706759,5.45
2004,4,April,2004.4,3,-0.209609,10.46
2004,5,May,2004.5,210.6,-0.492575,12.97
2004,6,June,2004.6,29,-0.614307,11.75
2004,7,July,2004.7,42,-0.558268,9.96
2004,8,August,2004.8,48,-0.0875585,8.74
2004,9,September,2004.9,241,0.0659883,7.29
2004,10,October,2004.1,285,0.11673,8
2004,11,November,2004.11,280,-0.00529145,4.35
2004,12,December,2004.12,7,-0.49658,2.45
